#Name: register
#Label: Register Usage
#Description: View read and written registers.
0	1	000007ec	read r13, r11, r14, write r13
0	1	000007f0	read r13, write r11
0	1	000007f4	read r13, write r13
0	1	000007f8	write r3
0	1	000007fc	read r11, r3
0	1	00000800	read r11, write r3
0	1	00000804	read r3, write r3
0	1	00000808	read r15, write r2
0	1	0000080c	write r1
0	1	00000810	read r2, r1, r3
0	1	00000814	write r3
0	1	00000818	write r2
0	1	0000081c	read r11, write r1
0	1	00000820	write r0
0	1	00000824	write r14, r14
0	2	00000828	read r0, write r3
0	2	0000082c	read r11, r3
0	2	00000830	read r11, write r3
0	2	00000834	read r3, write r3
0	2	00000838	read r3, write r3
0	2	0000083c	read r3, write r2
0	2	00000840	read r11, write r3
0	2	00000844	read r3, write r3
0	2	00000848	read r2, write r1
0	2	0000084c	read r15, write r2
0	2	00000850	read r2, r1, r3
0	2	00000854	read r11, write r3
0	2	00000858	read r3, write r3
0	2	0000085c	read r11, write r2
0	2	00000860	read r2, write r1
0	2	00000864	read r15, write r2
0	2	00000868	read r2, r1, r3
0	2	0000086c	read r11, write r3
0	2	00000870	read r3, write r1
0	2	00000874	read r11, write r0
0	2	00000878	write r3
0	2	0000087c	write r2
0	2	00000880	write r14, r14
0	3	00000884	read r0, write r3
0	3	00000888	read r11, r3
0	3	0000088c	write r3
0	3	00000890	read r3, write r0
0	3	00000894	read r11, write r13
0	3	00000898	read r13, write r13, r11, r14
0	3	0000089c	read r14, write r15
1	1	000004cc	read r13, r4, r11, r14, write r13
1	1	000004d0	read r13, write r11
1	1	000004d4	read r13, write r13
1	1	000004d8	read r11, r1
1	1	000004dc	read r11, r3
1	1	000004e0	read r0, write r3
1	1	000004e4	read r11, r3
1	1	000004e8	read r2, write r3
1	1	000004ec	read r11, r3
1	1	000004f0	read r11, write r3
1	1	000004f4	read r11, r3
1	1	000004f8	read r15, write r3
1	1	000004fc	read r3, write r3
1	1	00000500	read r3, write sr
1	1	00000504	read sr, write r14
1	2	000005d4	read r11, write r3
1	2	000005d8	read r3, write sr
1	2	000005dc	read sr, write r14
1	3	000005fc	read r11, write r3
1	3	00000600	read r3, write sr
1	3	00000604	read sr, write r14
1	4	00000668	write r3
1	4	0000066c	read r11, r3
1	4	00000670	write r14
