#timestamp package-00 dram0 
15268.100120253 4598377 746196 
15268.200131506 4655506 757442 
15268.300108208 4642566 755315 
15268.400111944 4606617 746074 
15268.500110105 4616931 756508 
15268.600109302 4642933 757901 
15268.700109249 4587756 750220 
15268.800109283 4646595 754795 
15268.900109010 4628894 755560 
15269.000109677 4587574 746793 
15269.100112401 4651294 754673 
15269.200108467 4620533 758681 
15269.300109571 4598072 749180 
15269.400111373 4646289 756156 
15269.500112905 4628162 759003 
15269.600113689 4582142 750526 
15269.700106205 4647021 755927 
15269.800109566 4640125 757534 
15269.900109633 4596729 748797 
15270.000113501 4638965 753586 
15270.100109489 4641895 753540 
15270.200092478 4586536 750833 
15270.300115906 4627552 755605 
15270.400112965 4595935 747681 
15270.500114293 4623829 756432 
15270.600108673 4627185 753586 
15270.700109452 4603260 752240 
15270.800107604 4640918 756508 
15270.900108903 4748340 753525 
15271.000121267 4582203 746992 
15271.100110798 4645923 757840 
15271.200109309 4634876 755376 
15271.300112404 4593128 745370 
15271.400108425 4649585 753097 
15271.500108224 4643299 752974 
15271.600107504 4632617 752898 
15271.700113736 4607105 747940 
15271.800108634 4624195 752806 
15271.900116454 4599964 745309 
15272.000117023 4648364 756355 
15272.100114314 4655079 756784 
15272.200117771 4604358 749425 
15272.300115052 4657459 761435 
15272.400106619 4647876 756524 
15272.500113846 4597217 751643 
15272.600108466 4646656 759737 
15272.700109298 4658008 762169 
15272.800123536 4630115 752347 
15272.900115867 4654285 760563 
15273.000110386 4633594 757090 
15273.100109200 4606312 748277 
15273.200110028 4697131 753479 
15273.300127419 4656055 756157 
15273.400121766 4608936 746502 
15273.500108579 4628894 759339 
15273.600109330 4601490 757075 
15273.700113842 4645008 748491 
15273.800108323 4634265 757335 
15273.900109306 4718982 759629 
15274.000125202 4592945 753281 
15274.100113235 4649036 758145 
15274.200123506 4605823 749149 
15274.300108709 4632007 756126 
15274.400108917 4635425 757396 
15274.500112442 4632252 752072 
15274.600113338 4602344 745829 
15274.700113865 4628955 756524 
15274.800110471 4591602 753402 
15274.900112473 4642689 746809 
15275.000107997 4646167 754657 
15275.100109061 4635303 755514 
15275.200132689 4622669 749118 
15275.300112535 4632190 755010 
15275.400111821 4592335 750618 
15275.500113636 4625537 757701 
15275.600108766 4640552 754780 
15275.700109438 4589832 746762 
15275.800130800 4665638 758024 
15275.900113410 4624316 754687 
15276.000111247 4615833 749257 
15276.100108143 4632069 754825 
15276.200131616 4643848 758222 
15276.300117814 4594043 747543 
15276.400126752 4655139 755285 
15276.500124852 4644032 754596 
15276.600111156 4593677 743304 
15276.700108494 4641528 750939 
15276.800112236 4647449 755851 
15276.900129314 4699634 744498 
15277.000115775 4641956 753908 
15277.100108938 4602772 747527 
15277.200111256 4647021 756463 
15277.300106501 4641041 759920 
15277.400129630 4594287 749593 
15277.500110394 4631458 757717 
15277.600113017 4653797 756983 
15277.700110188 4596119 750312 
15277.800113992 4672534 756998 
15277.900106578 4680530 756004 
15278.000112793 4612720 747435 
15278.100109207 4639759 756294 
15278.200110922 4652515 754795 
15278.300122860 5586045 776690 
15278.400126937 5127489 783360 
15278.500112884 4443043 761832 
